[ 2026-04-12 23:24:40,646 ] 19 root - INFO - Initiate the data ingestion
[ 2026-04-12 23:24:45,720 ] 69 root - INFO - Performed train test split on the dataframe
[ 2026-04-12 23:24:45,720 ] 71 root - INFO - Exited split_data_as_train_test method of  Data_ingestion class
[ 2026-04-12 23:24:45,722 ] 79 root - INFO - Exporting train and test file path.
[ 2026-04-12 23:24:45,892 ] 89 root - INFO - Exported train and test file path.
[ 2026-04-12 23:24:45,893 ] 21 root - INFO - Data Initiation Completed
[ 2026-04-12 23:24:45,936 ] 26 root - INFO - Initiate the data validation
[ 2026-04-12 23:24:46,058 ] 33 root - INFO - Required number of columns:2
[ 2026-04-12 23:24:46,058 ] 34 root - INFO - Data frame has columns:31
[ 2026-04-12 23:24:46,059 ] 33 root - INFO - Required number of columns:2
[ 2026-04-12 23:24:46,059 ] 34 root - INFO - Data frame has columns:31
[ 2026-04-12 23:24:46,489 ] 28 root - INFO - Data Validation Completed
[ 2026-04-12 23:24:46,491 ] 32 root - INFO - Data Transformation started Completed
[ 2026-04-12 23:24:46,491 ] 65 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[ 2026-04-12 23:24:46,491 ] 67 root - INFO - Starting data transformation
[ 2026-04-12 23:24:46,578 ] 50 root - INFO - Entered get_data_transformer_object method of transformation class
[ 2026-04-12 23:24:46,578 ] 55 root - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[ 2026-04-12 23:24:46,606 ] 52 root - INFO - Entered the save_object method of MainUtils class
[ 2026-04-12 23:24:46,612 ] 56 root - INFO - Exited the save_object method of MainUtils class
[ 2026-04-12 23:24:46,614 ] 65 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[ 2026-04-12 23:24:46,615 ] 67 root - INFO - Starting data transformation
[ 2026-04-12 23:24:46,669 ] 50 root - INFO - Entered get_data_transformer_object method of transformation class
[ 2026-04-12 23:24:46,670 ] 55 root - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[ 2026-04-12 23:24:46,700 ] 52 root - INFO - Entered the save_object method of MainUtils class
[ 2026-04-12 23:24:46,706 ] 56 root - INFO - Exited the save_object method of MainUtils class
[ 2026-04-12 23:24:46,709 ] 37 root - INFO - Data Transformation Completed
[ 2026-04-12 23:24:46,709 ] 40 root - INFO - Model Training started
[ 2026-04-12 23:33:32,733 ] 52 root - INFO - Entered the save_object method of MainUtils class
[ 2026-04-12 23:33:32,734 ] 56 root - INFO - Exited the save_object method of MainUtils class
[ 2026-04-12 23:33:32,735 ] 128 root - INFO - Model trainer artifact: ModelTrainerArtifact(trained_model_file_path='Artifacts\\04_12_2026_23_24_31\\model_trainer\\trained_model\\model.pkl', train_metric_artifact=ClassificationMetricArtifact(f1_score=0.9918157017277963, precision_score=0.9887187751813054, recall_score=0.9949320900060815), test_metric_artifact=ClassificationMetricArtifact(f1_score=0.9776876267748479, precision_score=0.9709911361804996, recall_score=0.9844771241830066))
